school,nickname,url,location,secondary_name,slug,primary_color,short_name,home_venue
Central Florida,Knights,/cbb/schools/central-florida/men/,"Orlando, Florida",UCF,central-florida,#BA9B37,UCF,"Orlando, Florida"
Central Michigan,Chippewas,/cbb/schools/central-michigan/men/,"Mount Pleasant, Michigan",,central-michigan,#6A0032,CMU,"Mt. Pleasant, Michigan"
Charleston Southern,Buccaneers,/cbb/schools/charleston-southern/men/,"Charleston, South Carolina",,charleston-southern,#002855,CSU,"Buccaneer Fieldhouse, Charleston, South Carolina"
Charlotte,49ers,/cbb/schools/charlotte/men/,"Charlotte, North Carolina",,charlotte,#046A38,Charlotte,"Charlotte, North Carolina"
Chattanooga,Mocs,/cbb/schools/chattanooga/men/,"Chattanooga, Tennessee",,chattanooga,#002F6C,UTC,"Chattanooga, Tennessee"
Chicago State,Cougars,/cbb/schools/chicago-state/men/,"Chicago, Illinois",,chicago-state,#006341,ChiSt,"Chicago, Illinois"
Cincinnati,Bearcats,/cbb/schools/cincinnati/men/,"Cincinnati, Ohio",,cincinnati,#D50A0A,Cincy,"Cincinnati, Ohio"
Clemson,Tigers,/cbb/schools/clemson/men/,"Clemson, South Carolina",,clemson,#F56600,Clemson,"Clemson, South Carolina"
Cleveland State,Vikings,/cbb/schools/cleveland-state/men/,"Cleveland, Ohio",,cleveland-state,#006A4D,CSU,"Cleveland, Ohio"
Coastal Carolina,Chanticleers,/cbb/schools/coastal-carolina/men/,"Conway, South Carolina",,coastal-carolina,#007377,CCU,"Conway, South Carolina"
Colgate,Raiders,/cbb/schools/colgate/men/,"Hamilton, New York",,colgate,#862633,Colgate,"Hamilton, New York"
College of Charleston,Cougars,/cbb/schools/college-of-charleston/men/,"Charleston, South Carolina",,college-of-charleston,#7C2629,CofC,"Charleston, South Carolina"
Colorado,Buffaloes,/cbb/schools/colorado/men/,"Boulder, Colorado",,colorado,#CFB87C,CU,"Boulder, Colorado"
Colorado State,Rams,/cbb/schools/colorado-state/men/,"Fort Collins, Colorado",,colorado-state,#175E54,CSU,"Fort Collins, Colorado"
Columbia,Lions,/cbb/schools/columbia/men/,"New York, New York",,columbia,#9BDDFF,Columbia,"Francis A. Levien Gymnasium, New York, New York"
Connecticut,Huskies,/cbb/schools/connecticut/men/,"Storrs, Connecticut",UConn,connecticut,#002868,UConn,"Hartford, Connecticut"
Coppin State,Eagles,/cbb/schools/coppin-state/men/,"Baltimore, Maryland",,coppin-state,#003DA5,Coppin,"Baltimore, Maryland"
Cornell,Big Red,/cbb/schools/cornell/men/,"Ithaca, New York",,cornell,#B31B1B,Cornell,"Ithaca, New York"
Creighton,Bluejays,/cbb/schools/creighton/men/,"Omaha, Nebraska",,creighton,#005CA9,Creighton,"Omaha, Nebraska"
Dartmouth,Big Green,/cbb/schools/dartmouth/men/,"Hanover, New Hampshire",,dartmouth,#00693E,Dartmouth,"Hanover, New Hampshire"
Davidson,Wildcats,/cbb/schools/davidson/men/,"Davidson, North Carolina",,davidson,#C8102E,Davidson,"Davidson, North Carolina"
Dayton,Flyers,/cbb/schools/dayton/men/,"Dayton, Ohio",,dayton,#CE1141,Dayton,"Dayton, Ohio"
Delaware,Fightin' Blue Hens,/cbb/schools/delaware/men/,"Newark, Delaware",,delaware,#00539B,Delaware,"Newark, Delaware"
Delaware State,Hornets,/cbb/schools/delaware-state/men/,"Dover, Delaware",,delaware-state,#C8102E,DelSt,"Dover, Delaware"
Denver,Pioneers,/cbb/schools/denver/men/,"Denver, Colorado",,denver,#8B2332,Denver,"Denver, Colorado"
DePaul,Blue Demons,/cbb/schools/depaul/men/,"Chicago, Illinois",,depaul,#003DA5,DePaul,"Chicago, Illinois"
Detroit Mercy,Titans,/cbb/schools/detroit-mercy/men/,"Detroit, Michigan",,detroit-mercy,#C8102E,Detroit,"Detroit, Michigan"
Drake,Bulldogs,/cbb/schools/drake/men/,"Des Moines, Iowa",,drake,#0033A0,Drake,"Des Moines, Iowa"
Drexel,Dragons,/cbb/schools/drexel/men/,"Philadelphia, Pennsylvania",,drexel,#07294D,Drexel,"Philadelphia, Pennsylvania"
Duke,Blue Devils,/cbb/schools/duke/men/,"Durham, North Carolina",,duke,#012169,Duke,"Durham, North Carolina"
Duquesne,Dukes,/cbb/schools/duquesne/men/,"Pittsburgh, Pennsylvania",,duquesne,#041E42,Duq,"Pittsburgh, Pennsylvania"
East Carolina,Pirates,/cbb/schools/east-carolina/men/,"Greenville, North Carolina",,east-carolina,#592A8A,ECU,"Greenville, North Carolina"
East Tennessee State,Buccaneers,/cbb/schools/east-tennessee-state/men/,"Johnson City, Tennessee",ETSU,east-tennessee-state,#002D72,ETSU,"Johnson City, Tennessee"
Eastern Illinois,Panthers,/cbb/schools/eastern-illinois/men/,"Charleston, Illinois",,eastern-illinois,#0033A0,EIU,"Charleston, Illinois"
Eastern Kentucky,Colonels,/cbb/schools/eastern-kentucky/men/,"Richmond, Kentucky",,eastern-kentucky,#61192C,EKU,"Richmond, Kentucky"
Eastern Michigan,Eagles,/cbb/schools/eastern-michigan/men/,"Ypsilanti, Michigan",,eastern-michigan,#006633,EMU,"Ypsilanti, Michigan"
Eastern Washington,Eagles,/cbb/schools/eastern-washington/men/,"Cheney, Washington",,eastern-washington,#A41E34,EWU,"Cheney, Washington"
Elon,Phoenix,/cbb/schools/elon/men/,"Elon, North Carolina",,elon,#8B2332,Elon,"Elon, North Carolina"
Evansville,Purple Aces,/cbb/schools/evansville/men/,"Evansville, Indiana",,evansville,#4B1869,Evansville,"Evansville, Indiana"
Fairfield,Stags,/cbb/schools/fairfield/men/,"Fairfield, Connecticut",,fairfield,#E01A3E,Fairfield,"Fairfield, Connecticut"
Fairleigh Dickinson,Knights,/cbb/schools/fairleigh-dickinson/men/,"Teaneck, New Jersey",FDU,fairleigh-dickinson,#003366,FDU,"Teaneck, New Jersey"
Florida A&M,Rattlers,/cbb/schools/florida-am/men/,"Tallahassee, Florida",,florida-a-m,#228B22,FAMU,"Tallahassee, Florida"
Florida Atlantic,Owls,/cbb/schools/florida-atlantic/men/,"Boca Raton, Florida",,florida-atlantic,#003366,FAU,"Boca Raton, Florida"
Florida,Gators,/cbb/schools/florida/men/,"Gainesville, Florida",,florida,#0021A5,UF,"Gainesville, Florida"
Florida Gulf Coast,Eagles,/cbb/schools/florida-gulf-coast/men/,"Fort Myers, Florida",,florida-gulf-coast,#006747,FGCU,"Fort Myers, Florida"
Florida International,Panthers,/cbb/schools/florida-international/men/,"Miami, Florida",,florida-international,#002D62,FIU,"Miami, Florida"
Florida State,Seminoles,/cbb/schools/florida-state/men/,"Tallahassee, Florida",,florida-state,#782F40,FSU,"Tallahassee, Florida"
Fordham,Rams,/cbb/schools/fordham/men/,"Bronx, New York",,fordham,#870A1F,Fordham,"Bronx, New York"
Fresno State,Bulldogs,/cbb/schools/fresno-state/men/,"Fresno, California",,fresno-state,#002F6C,FresnoSt,"Fresno, California"
Furman,Paladins,/cbb/schools/furman/men/,"Greenville, South Carolina",,furman,#682A8D,Furman,"Greenville, South Carolina"
Gardner-Webb,Runnin' Bulldogs,/cbb/schools/gardner-webb/men/,"Boiling Springs, North Carolina",,gardner-webb,#B01E2F,Gardner-Webb,"Boiling Springs, North Carolina"
George Mason,Patriots,/cbb/schools/george-mason/men/,"Fairfax, Virginia",,george-mason,#006633,GMU,"Fairfax, Virginia"
George Washington,Colonials,/cbb/schools/george-washington/men/,"Washington, D.C.",,george-washington,#002147,GW,"Washington, District of Columbia"
Georgetown,Hoyas,/cbb/schools/georgetown/men/,"Washington, D.C.",,georgetown,#11264F,Georgetown,"Washington, District of Columbia"
Georgia,Bulldogs,/cbb/schools/georgia/men/,"Athens, Georgia",,georgia,#BA0C2F,UGA,"Stegeman Coliseum, Athens, Georgia"
Georgia Southern,Eagles,/cbb/schools/georgia-southern/men/,"Statesboro, Georgia",,georgia-southern,#041E42,GaSo,"Jack and Ruth Ann Hill Convocation Center, Statesboro, Georgia"
Georgia State,Panthers,/cbb/schools/georgia-state/men/,"Atlanta, Georgia",,georgia-state,#0039A6,GaState,"Atlanta, Georgia"
Georgia Tech,Yellow Jackets,/cbb/schools/georgia-tech/men/,"Atlanta, Georgia",,georgia-tech,#B3A369,GT,"McCamish Pavilion, Atlanta, Georgia"
Gonzaga,Bulldogs,/cbb/schools/gonzaga/men/,"Spokane, Washington",,gonzaga,#002E5F,Gonzaga,"Spokane, Washington"
Grambling,Tigers,/cbb/schools/grambling/men/,"Grambling, Louisiana",,grambling,#FDB913,GSU,"Grambling, Louisiana"
Grand Canyon,Antelopes,/cbb/schools/grand-canyon/men/,"Phoenix, Arizona",,grand-canyon,#522398,GCU,"Phoenix, Arizona"
Green Bay,Phoenix,/cbb/schools/green-bay/men/,"Green Bay, Wisconsin",,green-bay,#006A4E,Green Bay,"Green Bay, Wisconsin"
Hampton,Pirates,/cbb/schools/hampton/men/,"Hampton, Virginia",,hampton,#003366,Hampton,"Hampton University Convocation Center, Hampton, Virginia"
Harvard,Crimson,/cbb/schools/harvard/men/,"Boston, Massachusetts",,harvard,#A51C30,Harvard,"Boston, Massachusetts"
Hawaii,Rainbow Warriors,/cbb/schools/hawaii/men/,"Honolulu, Hawaii",,hawaii,#024731,Hawaii,"SimpliFi Arena at Stan Sheriff Center, Honolulu, Hawaii"
High Point,Panthers,/cbb/schools/high-point/men/,"High Point, North Carolina",,high-point,#532E8E,HPU,"Qubein Center, High Point, North Carolina"
Hofstra,Pride,/cbb/schools/hofstra/men/,"Hempstead, New York",,hofstra,#003087,Hofstra,"Hempstead, New York"
Holy Cross,Crusaders,/cbb/schools/holy-cross/men/,"Worcester, Massachusetts",,holy-cross,#492F92,Holy Cross,"Hart Center Arena, Worcester, Massachusetts"
Houston Christian,Huskies,/cbb/schools/houston-baptist/men/,"Houston, Texas",,houston-christian,#002E5D,HCU,"Houston, Texas"
Houston,Cougars,/cbb/schools/houston/men/,"Houston, Texas",,houston,#C8102E,UH,"Houston, Texas"
Howard,Bison,/cbb/schools/howard/men/,"Washington, D.C.",,howard,#00205B,Howard,"Washington, District of Columbia"
Idaho State,Bengals,/cbb/schools/idaho-state/men/,"Pocatello, Idaho",,idaho-state,#FF8200,Idaho St,"Pocatello, Idaho"
Idaho,Vandals,/cbb/schools/idaho/men/,"Moscow, Idaho",,idaho,#B3A369,Idaho,"Moscow, Idaho"
Illinois,Fighting Illini,/cbb/schools/illinois/men/,"Champaign, Illinois",,illinois,#E84A27,Illinois,"Champaign, Illinois"
Illinois State,Redbirds,/cbb/schools/illinois-state/men/,"Normal, Illinois",,illinois-state,#D50032,Illinois St,"Normal, Illinois"
Illinois-Chicago,Flames,/cbb/schools/illinois-chicago/men/,"Chicago, Illinois",UIC,illinois-chicago,#CE1141,UIC,"Chicago, Illinois"
Incarnate Word,Cardinals,/cbb/schools/incarnate-word/men/,"San Antonio, Texas",,incarnate-word,#C8102E,UIW,"San Antonio, Texas"
Indiana,Hoosiers,/cbb/schools/indiana/men/,"Bloomington, Indiana",,indiana,#990000,Indiana,"Bloomington, Indiana"
Indiana State,Sycamores,/cbb/schools/indiana-state/men/,"Terre Haute, Indiana",,indiana-state,#0061AA,Indiana St,"Terre Haute, Indiana"
Iona,Gaels,/cbb/schools/iona/men/,"New Rochelle, New York",,iona,#7C2529,Iona,"New Rochelle, New York"
Iowa,Hawkeyes,/cbb/schools/iowa/men/,"Iowa City, Iowa",,iowa,#FFCD00,,"Iowa City, Iowa"
Iowa State,Cyclones,/cbb/schools/iowa-state/men/,"Ames, Iowa",,iowa-state,#C8102E,,"Ames, Iowa"
IU Indy,Jaguars,/cbb/schools/iupui/men/,"Indianapolis, Indiana",IU Indianapolis,iu-indy,#A6192E,,"Indianapolis, Indiana"
Jackson State,Tigers,/cbb/schools/jackson-state/men/,"Jackson, Mississippi",,jackson-state,#002147,,"Lee E. Williams Athletics and Assembly Center, Jackson, Mississippi"
Jacksonville,Dolphins,/cbb/schools/jacksonville/men/,"Jacksonville, Florida",,jacksonville,#007041,,"Jacksonville, Florida"
Jacksonville State,Gamecocks,/cbb/schools/jacksonville-state/men/,"Jacksonville, Alabama",,jacksonville-state,#D50032,,"Jacksonville, Alabama"
James Madison,Dukes,/cbb/schools/james-madison/men/,"Harrisonburg, Virginia",,james-madison,#450084,,"Harrisonburg, Virginia"
Kansas City,Roos,/cbb/schools/missouri-kansas-city/men/,"Kansas City, Missouri",,kansas-city,#005596,,"Swinney Recreation Center, Kansas City, Missouri"
Kansas,Jayhawks,/cbb/schools/kansas/men/,"Lawrence, Kansas",,kansas,#0051BA,,"Lawrence, Kansas"
