school,nickname,url,location,secondary_name,slug,primary_color,short_name,home_venue
New Hampshire,Wildcats,/cbb/schools/new-hampshire/men/,"Durham, New Hampshire",,new-hampshire,#003366,UNH,"Durham, New Hampshire"
New Mexico,Lobos,/cbb/schools/new-mexico/men/,"Albuquerque, New Mexico",,new-mexico,#BA0C2F,UNM,"The Pit, Albuquerque, New Mexico"
New Mexico State,Aggies,/cbb/schools/new-mexico-state/men/,"Las Cruces, New Mexico",,new-mexico-state,#891C2B,NMSU,"Las Cruces, New Mexico"
New Orleans,Privateers,/cbb/schools/new-orleans/men/,"New Orleans, Louisiana",,new-orleans,#005CA9,UNO,"New Orleans , Louisiana"
Niagara,Purple Eagles,/cbb/schools/niagara/men/,"Niagara University, New York",,niagara,#582C83,Niagara,"Niagara University, New York"
Nicholls State,Colonels,/cbb/schools/nicholls-state/men/,"Thibodaux, Louisiana",,nicholls-state,#C8102E,Nicholls,"Thibodaux, Louisiana"
NJIT,Highlanders,/cbb/schools/njit/men/,"Newark, New Jersey",,njit,#D2232A,NJIT,"Joel and Diane Bloom Wellness and Events Center, Newark, New Jersey"
Norfolk State,Spartans,/cbb/schools/norfolk-state/men/,"Norfolk, Virginia",,norfolk-state,#046A38,NSU,"Norfolk, Virginia"
North Alabama,Lions,/cbb/schools/north-alabama/men/,"Florence, Alabama",,north-alabama,#4F2683,UNA,"Florence, Alabama"
North Carolina A&T,Aggies,/cbb/schools/north-carolina-at/men/,"Greensboro, North Carolina",,north-carolina-a-t,#00205B,NCAT,"Corbett Sports Center, Greensboro, North Carolina"
North Carolina Central,Eagles,/cbb/schools/north-carolina-central/men/,"Durham, North Carolina",,north-carolina-central,#7C2629,NCCU,"Durham, North Carolina"
North Carolina,Tar Heels,/cbb/schools/north-carolina/men/,"Chapel Hill, North Carolina",UNC,north-carolina,#7BAFD4,,"Chapel Hill, North Carolina"
North Dakota,Fighting Hawks,/cbb/schools/north-dakota/men/,"Grand Forks, North Dakota",,north-dakota,#009A44,UND,"Grand Forks, North Dakota"
North Dakota State,Bison,/cbb/schools/north-dakota-state/men/,"Fargo, North Dakota",,north-dakota-state,#115740,NDSU,"Fargo, North Dakota"
North Florida,Ospreys,/cbb/schools/north-florida/men/,"Jacksonville, Florida",,north-florida,#00205B,UNF,"Jacksonville, Florida"
North Texas,Mean Green,/cbb/schools/north-texas/men/,"Denton, Texas",,north-texas,#00853E,UNT,"Denton, Texas"
Northeastern,Huskies,/cbb/schools/northeastern/men/,"Boston, Massachusetts",,northeastern,#CC0000,NU,"Boston, Massachusetts"
Northern Arizona,Lumberjacks,/cbb/schools/northern-arizona/men/,"Flagstaff, Arizona",,northern-arizona,#003466,NAU,"Flagstaff, Arizona"
Northern Colorado,Bears,/cbb/schools/northern-colorado/men/,"Greeley, Colorado",,northern-colorado,#00205B,UNC,"Greeley, Colorado"
Northern Illinois,Huskies,/cbb/schools/northern-illinois/men/,"De Kalb, Illinois",,northern-illinois,#CC0000,NIU,"DeKalb, Illinois"
Northern Iowa,Panthers,/cbb/schools/northern-iowa/men/,"Cedar Falls, Iowa",,northern-iowa,#492F92,UNI,"Cedar Falls, Iowa"
Northern Kentucky,Norse,/cbb/schools/northern-kentucky/men/,"Highland Heights, Kentucky",,northern-kentucky,#FFC72C,NKU,"Highland Heights, Kentucky"
Northwestern State,Demons,/cbb/schools/northwestern-state/men/,"Natchitoches, Louisiana",,northwestern-state,#492F92,NWSt,"Natchitoches, Louisiana"
Northwestern,Wildcats,/cbb/schools/northwestern/men/,"Evanston, Illinois",,northwestern,#4E2A84,NU,"Evanston, Illinois"
Notre Dame,Fighting Irish,/cbb/schools/notre-dame/men/,"Notre Dame, Indiana",,notre-dame,#0C2340,ND,"South Bend, Indiana"
Oakland,Golden Grizzlies,/cbb/schools/oakland/men/,"Rochester, Michigan",,oakland,#B9975B,Oakland,"Rochester, Michigan"
Ohio,Bobcats,/cbb/schools/ohio/men/,"Athens, Ohio",,ohio,#00694E,Ohio,"Athens, Ohio"
Ohio State,Buckeyes,/cbb/schools/ohio-state/men/,"Columbus, Ohio",,ohio-state,#BB0000,Ohio St,"Columbus, Ohio"
Oklahoma,Sooners,/cbb/schools/oklahoma/men/,"Norman, Oklahoma",,oklahoma,#841617,OU,"Norman, Oklahoma"
Oklahoma State,Cowboys,/cbb/schools/oklahoma-state/men/,"Stillwater, Oklahoma",,oklahoma-state,#FF7300,OK St,"Stillwater, Oklahoma"
Old Dominion,Monarchs,/cbb/schools/old-dominion/men/,"Norfolk, Virginia",,old-dominion,#0066CC,ODU,"Norfolk, Virginia"
Omaha,Mavericks,/cbb/schools/nebraska-omaha/men/,"Omaha, Nebraska",,omaha,#000000,Omaha,"Omaha, Nebraska"
Oral Roberts,Golden Eagles,/cbb/schools/oral-roberts/men/,"Tulsa, Oklahoma",,oral-roberts,#00205B,ORU,"Tulsa, Oklahoma"
Oregon,Ducks,/cbb/schools/oregon/men/,"Eugene, Oregon",,oregon,#154733,Oregon,"Eugene, Oregon"
Oregon State,Beavers,/cbb/schools/oregon-state/men/,"Corvallis, Oregon",,oregon-state,#DC4405,OreSt,"Corvallis, Oregon"
Pacific,Tigers,/cbb/schools/pacific/men/,"Stockton, California",,pacific,#FF8200,Pacific,"Stockton, California"
Penn State,Nittany Lions,/cbb/schools/penn-state/men/,"University Park, Pennsylvania",,penn-state,#162952,PSU,"University Park, Pennsylvania"
Pennsylvania,Quakers,/cbb/schools/pennsylvania/men/,"Philadelphia, Pennsylvania",Penn,pennsylvania,#011F5B,Penn,"Philadelphia, Pennsylvania"
Pepperdine,Waves,/cbb/schools/pepperdine/men/,"Malibu, California",,pepperdine,#00205B,Pepperdine,"Malibu, California"
Pittsburgh,Panthers,/cbb/schools/pittsburgh/men/,"Pittsburgh, Pennsylvania",Pitt,pittsburgh,#003594,Pitt,"Pittsburgh, Pennsylvania"
Portland,Pilots,/cbb/schools/portland/men/,"Portland, Oregon",,portland,#3D206C,Portland,"Portland, Oregon"
Portland State,Vikings,/cbb/schools/portland-state/men/,"Portland, Oregon",,portland-state,#154734,PortSt,"Portland, Oregon"
Prairie View,Panthers,/cbb/schools/prairie-view/men/,"Prairie View, Texas",,prairie-view,#512D6D,PVAMU,"William J. Nicks Building, Prairie View, Texas"
Presbyterian,Blue Hose,/cbb/schools/presbyterian/men/,"Clinton, South Carolina",,presbyterian,#0033A0,PC,"Templeton Center, Clinton, South Carolina"
Princeton,Tigers,/cbb/schools/princeton/men/,"Princeton, New Jersey",,princeton,#FF8200,Princeton,"Princeton, New Jersey"
Providence,Friars,/cbb/schools/providence/men/,"Providence, Rhode Island",,providence,#231F20,Providence,"Providence, Rhode Island"
Purdue,Boilermakers,/cbb/schools/purdue/men/,"West Lafayette, Indiana",,purdue,#CEB888,Purdue,"West Lafayette, Indiana"
Purdue-Fort Wayne,Mastodons,/cbb/schools/ipfw/men/,"Fort Wayne, Indiana",Purdue Fort Wayne,purdue-fort-wayne,#231F20,PFW,"Fort Wayne, Indiana"
Queens (NC),Royals,/cbb/schools/queens-nc/men/,"Charlotte, North Carolina",,queens-nc,#00205B,,"Charlotte, North Carolina"
Quinnipiac,Bobcats,/cbb/schools/quinnipiac/men/,"Hamden, Connecticut",,quinnipiac,#00205B,,"M&T Bank Arena, Hamden, Connecticut"
Radford,Highlanders,/cbb/schools/radford/men/,"Radford, Virginia",,radford,#C8102E,,"Donald N. Dedmon Center, Radford, Virginia"
Rhode Island,Rams,/cbb/schools/rhode-island/men/,"Kingston, Rhode Island",,rhode-island,#75B2DD,,"Kingston, Rhode Island"
Rice,Owls,/cbb/schools/rice/men/,"Houston, Texas",,rice,#00205B,,"Houston, Texas"
Richmond,Spiders,/cbb/schools/richmond/men/,"Richmond, Virginia",,richmond,#C8102E,,"Richmond, Virginia"
Rider,Broncs,/cbb/schools/rider/men/,"Lawrenceville, New Jersey",,rider,#A6192E,,"Lawrenceville, New Jersey"
Robert Morris,Colonials,/cbb/schools/robert-morris/men/,"Moon Township, Pennsylvania",,robert-morris,#00205B,,"Moon, Pennsylvania"
Rutgers,Scarlet Knights,/cbb/schools/rutgers/men/,"New Brunswick, New Jersey",,rutgers,#CC0033,,"New Brunswick, New Jersey"
Sacramento State,Hornets,/cbb/schools/sacramento-state/men/,"Sacramento, California",,sacramento-state,#043927,,"Sacramento, California"
Sacred Heart,Pioneers,/cbb/schools/sacred-heart/men/,"Fairfield, Connecticut",,sacred-heart,#C8102E,,"Fairfield, Connecticut"
Saint Francis (PA),Red Flash,/cbb/schools/saint-francis-pa/men/,"Loretto, Pennsylvania",,saint-francis-pa,#C8102E,,"DeGol Arena, Loretto, Pennsylvania"
Saint Joseph's,Hawks,/cbb/schools/saint-josephs/men/,"Philadelphia, Pennsylvania",St. Joseph's,saint-joseph-s,#9E1B32,,"Philadelphia, Pennsylvania"
Saint Louis,Billikens,/cbb/schools/saint-louis/men/,"St. Louis, Missouri",,saint-louis,#003DA5,,"St. Louis, Missouri"
Saint Mary's (CA),Gaels,/cbb/schools/saint-marys-ca/men/,"Moraga, California",Saint Mary's,saint-mary-s-ca,#D50032,,"Moraga, California"
Saint Peter's,Peacocks,/cbb/schools/saint-peters/men/,"Jersey City, New Jersey",St. Peter's,saint-peter-s,#0033A0,,"Jersey City, New Jersey"
Sam Houston State,Bearkats,/cbb/schools/sam-houston-state/men/,"Huntsville, Texas",Sam Houston,sam-houston-state,#FF8200,,"Huntsville, Texas"
Samford,Bulldogs,/cbb/schools/samford/men/,"Birmingham, Alabama",,samford,#00205B,,"Birmingham, Alabama"
San Diego State,Aztecs,/cbb/schools/san-diego-state/men/,"San Diego, California",,san-diego-state,#C41230,,"San Diego, California"
San Diego,Toreros,/cbb/schools/san-diego/men/,"San Diego, California",,san-diego,#00205B,,"San Diego, California"
San Francisco,Dons,/cbb/schools/san-francisco/men/,"San Francisco, California",,san-francisco,#006341,,"San Francisco, California"
San Jose State,Spartans,/cbb/schools/san-jose-state/men/,"San Jose, California",,san-jose-state,#005CAB,,"San Jose, California"
Santa Clara,Broncos,/cbb/schools/santa-clara/men/,"Santa Clara, California",,santa-clara,#862633,,"Santa Clara, California"
Seattle,Redhawks,/cbb/schools/seattle/men/,"Seattle, Washington",,seattle,#C8102E,,"Seattle, Washington"
Seton Hall,Pirates,/cbb/schools/seton-hall/men/,"South Orange, New Jersey",,seton-hall,#003366,,"Newark, New Jersey"
Siena,Saints,/cbb/schools/siena/men/,"Loudonville, New York",,siena,#006633,,"Albany, New York"
South Alabama,Jaguars,/cbb/schools/south-alabama/men/,"Mobile, Alabama",,south-alabama,#00205B,,"Mobile, Alabama"
South Carolina,Gamecocks,/cbb/schools/south-carolina/men/,"Columbia, South Carolina",,south-carolina,#73000A,,"Columbia, South Carolina"
South Carolina State,Bulldogs,/cbb/schools/south-carolina-state/men/,"Orangeburg, South Carolina",,south-carolina-state,#0033A0,,"Orangeburg, South Carolina"
South Carolina Upstate,Spartans,/cbb/schools/south-carolina-upstate/men/,"Spartanburg, South Carolina",USC Upstate,south-carolina-upstate,#006341,,"Spartanburg, South Carolina"
South Dakota,Coyotes,/cbb/schools/south-dakota/men/,"Vermillion, South Dakota",,south-dakota,#D50032,,"Vermillon, South Dakota"
South Dakota State,Jackrabbits,/cbb/schools/south-dakota-state/men/,"Brookings, South Dakota",South Dakota State,south-dakota-state,#0033A0,,"First Bank & Trust Arena, Brookings, South Dakota"
South Florida,Bulls,/cbb/schools/south-florida/men/,"Tampa, Florida",,south-florida,#006747,,"Tampa, Florida"
Southeast Missouri State,Redhawks,/cbb/schools/southeast-missouri-state/men/,"Cape Girardeau, Missouri",,southeast-missouri-state,#C8102E,,"Cape Girardeau, Missouri"
Southeastern Louisiana,Lions,/cbb/schools/southeastern-louisiana/men/,"Hammond, Louisiana",,southeastern-louisiana,#006341,,"Hammond, Louisiana"
Southern California,Trojans,/cbb/schools/southern-california/men/,"Los Angeles, California",USC,southern-california,#990000,,"Los Angeles, California"
Southern Illinois,Salukis,/cbb/schools/southern-illinois/men/,"Carbondale, Illinois",,southern-illinois,#6E2639,,"Carbondale, Illinois"
Southern Illinois-Edwardsville,Cougars,/cbb/schools/southern-illinois-edwardsville/men/,"Edwardsville, Illinois",SIU-Edwardsville,southern-illinois-edwardsville,#D50032,,"Edwardsville, Illinois"
Southern Indiana,Screaming Eagles,/cbb/schools/southern-indiana/men/,"Evansville, Indiana",,southern-indiana,#00205B,,"Evansville, Indiana"
Southern,Jaguars,/cbb/schools/southern/men/,"Baton Rouge, Louisiana",,southern,#0033A0,,"Baton Rouge, Louisiana"
Southern Methodist,Mustangs,/cbb/schools/southern-methodist/men/,"Dallas, Texas",SMU,southern-methodist,#003366,,"Dallas, Texas"
Southern Mississippi,Golden Eagles,/cbb/schools/southern-mississippi/men/,"Hattiesburg, Mississippi",Southern Miss,southern-mississippi,#FFC72C,,"Hattiesburg, Mississippi"
Southern Utah,Thunderbirds,/cbb/schools/southern-utah/men/,"Cedar City, Utah",,southern-utah,#C8102E,,"Cedar City, Utah"
St. Bonaventure,Bonnies,/cbb/schools/st-bonaventure/men/,"St. Bonaventure, New York",,st-bonaventure,#633194,,"St. Bonaventure, New York"
St. John's (NY),Red Storm,/cbb/schools/st-johns-ny/men/,"Queens, New York",,st-john-s-ny,#C8102E,,"New York, New York"
St. Thomas,Tommies,/cbb/schools/st-thomas-mn/men/,"St. Paul, Minnesota",,st-thomas,#4F2C7E,,"St. Paul, Minnesota"
Stanford,Cardinal,/cbb/schools/stanford/men/,"Stanford, California",,stanford,#8C1515,,"Stanford, California"
Stephen F. Austin,Lumberjacks,/cbb/schools/stephen-f-austin/men/,"Nacogdoches, Texas",,stephen-f-austin,#4F2C7E,,"Nacogdoches, Texas"
Stetson,Hatters,/cbb/schools/stetson/men/,"DeLand, Florida",,stetson,#006747,,"DeLand, Florida"
Stonehill,Skyhawks,/cbb/schools/stonehill/men/,"Easton, Massachusetts",,stonehill,#5B6770,,"Easton, Massachusetts"
Stony Brook,Seawolves,/cbb/schools/stony-brook/men/,"Stony Brook, New York",,stony-brook,#C8102E,,"Stony Brook, New York"
Syracuse,Orange,/cbb/schools/syracuse/men/,"Syracuse, New York",,syracuse,#D44500,,"Syracuse, New York"
Tarleton State,Texans,/cbb/schools/tarleton-state/men/,"Stephenville, Texas",,tarleton-state,#512D6D,,"Stephenville, Texas"
TCU,Horned Frogs,/cbb/schools/texas-christian/men/,"Fort Worth, Texas",,tcu,#4B2067,,"Fort Worth, Texas"
Temple,Owls,/cbb/schools/temple/men/,"Philadelphia, Pennsylvania",,temple,#9D2235,,"Philadelphia, Pennsylvania"
Tennessee State,Tigers,/cbb/schools/tennessee-state/men/,"Nashville, Tennessee",,tennessee-state,#0033A0,,"Nashville, Tennessee"
Tennessee Tech,Golden Eagles,/cbb/schools/tennessee-tech/men/,"Cookeville, Tennessee",,tennessee-tech,#FFD200,,"Cookeville, Tennessee"
Tennessee,Volunteers,/cbb/schools/tennessee/men/,"Knoxville, Tennessee",,tennessee,#FF8200,,"Knoxville, Tennessee"
Tennessee-Martin,Skyhawks,/cbb/schools/tennessee-martin/men/,"Martin, Tennessee",UT-Martin,tennessee-martin,#00205B,,"Martin, Tennessee"
Texas A&M,Aggies,/cbb/schools/texas-am/men/,"College Station, Texas",,texas-a-m,#500000,,"College Station, Texas"
East Texas A&M,Lions,/cbb/schools/texas-am-commerce/men/,"Commerce, Texas",,east-texas-a-m,#00205B,,"Commerce, Texas"
Texas A&M-Corpus Christi,Islanders,/cbb/schools/texas-am-corpus-christi/men/,"Corpus Christi, Texas",,texas-a-m-corpus-christi,#007A5E,,"Corpus Christi, Texas"
Texas,Longhorns,/cbb/schools/texas/men/,"Austin, Texas",,texas,#BF5700,,"Austin, Texas"
Texas Southern,Tigers,/cbb/schools/texas-southern/men/,"Houston, Texas",,texas-southern,#4B2E83,,"Houston, Texas"
Texas State,Bobcats,/cbb/schools/texas-state/men/,"San Marcos, Texas",,texas-state,#501214,,"San Marcos, Texas"
Texas Tech,Red Raiders,/cbb/schools/texas-tech/men/,"Lubbock, Texas",,texas-tech,#CC0000,,"Lubbock, Texas"
Texas-Rio Grande Valley,Vaqueros,/cbb/schools/texas-pan-american/men/,"Edinburg, Texas",,texas-rio-grande-valley,#FF8200,,"Edinburg, Texas"
The Citadel,Bulldogs,/cbb/schools/citadel/men/,"Charleston, South Carolina",,the-citadel,#6AABD2,,"Charleston, South Carolina"
Toledo,Rockets,/cbb/schools/toledo/men/,"Toledo, Ohio",,toledo,#00205B,,"Toledo, Ohio"
Towson,Tigers,/cbb/schools/towson/men/,"Towson, Maryland",,towson,#FFCC00,,"Towson, Maryland"
Troy,Trojans,/cbb/schools/troy/men/,"Troy, Alabama",,troy,#7C2629,,"Troy, Alabama"
Tulane,Green Wave,/cbb/schools/tulane/men/,"New Orleans, Louisiana",,tulane,#006747,,"New Orleans, Louisiana"
Tulsa,Golden Hurricane,/cbb/schools/tulsa/men/,"Tulsa, Oklahoma",,tulsa,#002D72,,"Donald W. Reynolds Center, Tulsa, Oklahoma"
UAB,Blazers,/cbb/schools/alabama-birmingham/men/,"Birmingham, Alabama",,uab,#006341,,"Birmingham, Alabama"
UC Davis,Aggies,/cbb/schools/california-davis/men/,"Davis, California",UC-Davis,uc-davis,#002855,,"Davis, California"
UC Irvine,Anteaters,/cbb/schools/california-irvine/men/,"Irvine, California",UC-Irvine,uc-irvine,#0064A4,,"Irvine, California"
UC Riverside,Highlanders,/cbb/schools/california-riverside/men/,"Riverside, California",UC-Riverside,uc-riverside,#00205B,,"Riverside, California"
UC San Diego,Tritons,/cbb/schools/california-san-diego/men/,"La Jolla, California",UC-San Diego,uc-san-diego,#182B49,,"La Jolla, California"
UC Santa Barbara,Gauchos,/cbb/schools/california-santa-barbara/men/,"Santa Barbara, California",UCSB,uc-santa-barbara,#003660,,"Santa Barbara, California"
UCLA,Bruins,/cbb/schools/ucla/men/,"Los Angeles, California",,ucla,#2774AE,,"Los Angeles, California"
UNC Asheville,Bulldogs,/cbb/schools/north-carolina-asheville/men/,"Asheville, North Carolina",,unc-asheville,#00205B,,"Asheville, North Carolina"
UNC Greensboro,Spartans,/cbb/schools/north-carolina-greensboro/men/,"Greensboro, North Carolina",,unc-greensboro,#003366,,"First Horizon Coliseum, Greensboro, North Carolina"
UNC Wilmington,Seahawks,/cbb/schools/north-carolina-wilmington/men/,"Wilmington, North Carolina",,unc-wilmington,#006666,,"Wilmington, North Carolina"
UT Arlington,Mavericks,/cbb/schools/texas-arlington/men/,"Arlington, Texas",,ut-arlington,#0064B1,,"Arlington, Texas"
Utah State,Aggies,/cbb/schools/utah-state/men/,"Logan, Utah",,utah-state,#0F2439,,"Logan, Utah"
Utah Tech,Trailblazers,/cbb/schools/dixie-state/men/,"St. George, Utah",,utah-tech,#D2232A,,"St. George, Utah"
Utah,Utes,/cbb/schools/utah/men/,"Salt Lake City, Utah",,utah,#CC0000,,"Salt Lake City, Utah"
Utah Valley,Wolverines,/cbb/schools/utah-valley/men/,"Orem, Utah",,utah-valley,#006747,,"UCCU Center, Orem, Utah"
UTEP,Miners,/cbb/schools/texas-el-paso/men/,"El Paso, Texas",,utep,#FF8200,,"El Paso, Texas"
UTSA,Roadrunners,/cbb/schools/texas-san-antonio/men/,"San Antonio, Texas",,utsa,#F15A22,,"San Antonio, Texas"
Valparaiso,Beacons,/cbb/schools/valparaiso/men/,"Valparaiso, Indiana",,valparaiso,#FFCC00,,"Valparaiso, Indiana"
Vanderbilt,Commodores,/cbb/schools/vanderbilt/men/,"Nashville, Tennessee",,vanderbilt,#866D4B,,"Nashville, Tennessee"
Vermont,Catamounts,/cbb/schools/vermont/men/,"Burlington, Vermont",,vermont,#00543C,,"Burlington, Vermont"
Villanova,Wildcats,/cbb/schools/villanova/men/,"Villanova, Pennsylvania",,villanova,#003366,,"Villanova, Pennsylvania"
Virginia,Cavaliers,/cbb/schools/virginia/men/,"Charlottesville, Virginia",,virginia,#232D4B,,"Charlottesville, Virginia"
Virginia Commonwealth,Rams,/cbb/schools/virginia-commonwealth/men/,"Richmond, Virginia",VCU,virginia-commonwealth,#231F20,,"E.J. Wade Arena at Stuart C. Siegel Center, Richmond, Virginia"
Virginia Military Institute,Keydets,/cbb/schools/virginia-military-institute/men/,"Lexington, Virginia",VMI,virginia-military-institute,#EAAA00,,"Lexington, Virginia"
Virginia Tech,Hokies,/cbb/schools/virginia-tech/men/,"Blacksburg, Virginia",,virginia-tech,#861F41,,"Blacksburg, Virginia"
Wagner,Seahawks,/cbb/schools/wagner/men/,"Staten Island, New York",,wagner,#006666,,"Staten Island, New York"
Wake Forest,Demon Deacons,/cbb/schools/wake-forest/men/,"Winston-Salem, North Carolina",,wake-forest,#9E7E38,,"Winston-Salem, North Carolina"
Washington,Huskies,/cbb/schools/washington/men/,"Seattle, Washington",,washington,#4B2E83,,"Seattle, Washington"
Washington State,Cougars,/cbb/schools/washington-state/men/,"Pullman, Washington",,washington-state,#981E32,,"Pullman, Washington"
Weber State,Wildcats,/cbb/schools/weber-state/men/,"Ogden, Utah",,weber-state,#4F2C7E,,"Ogden, Utah"
West Virginia,Mountaineers,/cbb/schools/west-virginia/men/,"Morgantown, West Virginia",,west-virginia,#002855,,"Morgantown, West Virginia"
Western Carolina,Catamounts,/cbb/schools/western-carolina/men/,"Cullowhee, North Carolina",,western-carolina,#592A8A,,"Ramsey Center, Cullowhee, North Carolina"
Western Illinois,Leathernecks,/cbb/schools/western-illinois/men/,"Macomb, Illinois",,western-illinois,#512D6D,,"Macomb, Illinois"
Western Kentucky,Hilltoppers,/cbb/schools/western-kentucky/men/,"Bowling Green, Kentucky",,western-kentucky,#D50A0A,,"Bowling Green, Kentucky"
Western Michigan,Broncos,/cbb/schools/western-michigan/men/,"Kalamazoo, Michigan",,western-michigan,#866D4B,,"Kalamazoo, Michigan"
Wichita State,Shockers,/cbb/schools/wichita-state/men/,"Wichita, Kansas",,wichita-state,#FFDB00,,"Wichita, Kansas"
William & Mary,Tribe,/cbb/schools/william-mary/men/,"Williamsburg, Virginia",,william-mary,#115740,,"Williamsburg, Virginia"
Winthrop,Eagles,/cbb/schools/winthrop/men/,"Rock Hill, South Carolina",,winthrop,#800000,,"Rock Hill, South Carolina"
Wisconsin,Badgers,/cbb/schools/wisconsin/men/,"Madison, Wisconsin",,wisconsin,#C5050C,,"Madison, Wisconsin"
Wofford,Terriers,/cbb/schools/wofford/men/,"Spartanburg, South Carolina",,wofford,#B4975A,,"Spartanburg, South Carolina"
Wright State,Raiders,/cbb/schools/wright-state/men/,"Dayton, Ohio",,wright-state,#006747,,"Dayton, Ohio"
Wyoming,Cowboys,/cbb/schools/wyoming/men/,"Laramie, Wyoming",,wyoming,#FFC425,,"Laramie, Wyoming"
Xavier,Musketeers,/cbb/schools/xavier/men/,"Cincinnati, Ohio",,xavier,#0C2340,,"Cincinnati, Ohio"
Yale,Bulldogs,/cbb/schools/yale/men/,"New Haven, Connecticut",,yale,#00356B,,"New Haven, Connecticut"
Youngstown State,Penguins,/cbb/schools/youngstown-state/men/,"Youngstown, Ohio",,youngstown-state,#D50032,,"Youngstown, Ohio"
Mercyhurst,Lakers,/cbb/schools/mercyhurst/men/,"Erie, Pennsylvania",,mercyhurst,#006B54,,"Mercyhurst Athletic Center, Erie, Pennsylvania"
West Georgia,Wolves,/cbb/schools/west-georgia/men/,"Carrollton, Georgia",,west-georgia,#00205B,,"The Coliseum, Carrollton, Georgia"
