school,conference_slug,start_year,end_year
Saint Francis (PA),nec,2024,
Saint Joseph's,atlantic-10,2024,
Saint Louis,atlantic-10,2024,
Saint Mary's (CA),west-coast,2024,
Saint Peter's,maac,2024,
Sam Houston State,conference-usa,2024,
Samford,socon,2024,
San Diego,west-coast,2024,
San Francisco,west-coast,2024,
San Jose State,mountain-west,2024,
Santa Clara,west-coast,2024,
Seattle,wac,2024,
Seton Hall,big-east,2024,
Siena,maac,2024,
South Alabama,sun-belt,2024,
South Carolina State,meac,2024,
South Carolina Upstate,big-south,2024,
South Dakota,summit,2024,
South Dakota State,summit,2024,
South Florida,aac,2024,
Southeastern Louisiana,southland,2024,
Southern California,pac-12,2024,
Southern Illinois,missouri-valley,2024,
Southern Illinois-Edwardsville,ohio-valley,2024,
Southern Indiana,ohio-valley,2024,
Southern,swac,2024,
Southern Methodist,acc,2024,
Southern Utah,wac,2024,
St. Bonaventure,atlantic-10,2024,
St. John's (NY),big-east,2024,
St. Thomas,summit,2024,
Stanford,pac-12,2024,
Stephen F. Austin,wac,2024,
Stetson,asun,2024,
Stonehill,nec,2024,
Syracuse,acc,2024,
Tarleton State,wac,2024,
TCU,big-12,2024,
Temple,aac,2024,
Tennessee State,ohio-valley,2024,
Tennessee Tech,ohio-valley,2024,
Tennessee,sec,2024,
Texas A&M,sec,2024,
Texas A&M-Corpus Christi,southland,2024,
Texas,big-12,2024,
Texas Southern,swac,2024,
Texas State,sun-belt,2024,
Texas Tech,big-12,2024,
Texas-Rio Grande Valley,wac,2024,
Toledo,mac,2024,
Towson,colonial,2024,
Troy,sun-belt,2024,
Tulane,aac,2024,
Tulsa,aac,2024,
UAB,aac,2024,
UC Davis,big-west,2024,
UC Irvine,big-west,2024,
UC Riverside,big-west,2024,
UC Santa Barbara,big-west,2024,
UCLA,pac-12,2024,
UNC Asheville,big-south,2024,
UNC Greensboro,socon,2024,
UNC Wilmington,colonial,2024,
UT Arlington,wac,2024,
Utah State,mountain-west,2024,
Utah Tech,wac,2024,
Utah,pac-12,2024,
Utah Valley,wac,2024,
UTEP,conference-usa,2024,
Valparaiso,missouri-valley,2024,
Vanderbilt,sec,2024,
Vermont,america-east,2024,
Villanova,big-east,2024,
Virginia,acc,2024,
Virginia Military Institute,socon,2024,
Virginia Tech,acc,2024,
Wagner,nec,2024,
Wake Forest,acc,2024,
Washington,pac-12,2024,
Washington State,pac-12,2024,
Weber State,big-sky,2024,
West Virginia,big-12,2024,
Western Illinois,ohio-valley,2024,
Western Kentucky,conference-usa,2024,
Western Michigan,mac,2024,
Wichita State,aac,2024,
East Texas A&M,southland,2024,
Abilene Christian,wac,2024,
Alabama,sec,2024,
Arkansas,sec,2024,
Bellarmine,asun,2024,
Boston University,patriot,2024,
Cal State Bakersfield,big-west,2024,
Central Connecticut State,nec,2024,
Coastal Carolina,sun-belt,2024,
Creighton,big-east,2024,
Detroit Mercy,horizon,2024,
Eastern Illinois,ohio-valley,2024,
Fairleigh Dickinson,nec,2024,
Florida Atlantic,aac,2024,
Gardner-Webb,big-south,2024,
Grambling,swac,2024,
Houston Christian,wac,2024,
Iowa State,big-12,2024,
IU Indy,horizon,2024,
Kansas State,big-12,2024,
Le Moyne,maac,2024,
Long Island University,nec,2024,
Loyola Marymount,west-coast,2024,
Maryland-Baltimore County,america-east,2024,
Middle Tennessee,conference-usa,2024,
Mississippi,sec,2024,
Mississippi State,sec,2024,
Mount St. Mary's,maac,2024,
New Mexico State,conference-usa,2024,
North Carolina Central,meac,2024,
Northern Illinois,mac,2024,
Ohio State,big-ten,2024,
Pacific,west-coast,2024,
Prairie View,swac,2024,
Rhode Island,atlantic-10,2024,
Sacred Heart,nec,2024,
San Diego State,mountain-west,2024,
William & Mary,colonial,2024,
Winthrop,big-south,2024,
Wisconsin,big-ten,2024,
Wofford,socon,2024,
Wright State,horizon,2024,
Wyoming,mountain-west,2024,
Xavier,big-east,2024,
Yale,ivy,2024,
Youngstown State,horizon,2024,
Mercyhurst,nec,2024,
West Georgia,asun,2024,
South Carolina,sec,2024,
Southeast Missouri State,ohio-valley,2024,
Southern Mississippi,sun-belt,2024,
Stony Brook,colonial,2024,
Tennessee-Martin,ohio-valley,2024,
The Citadel,socon,2024,
UC San Diego,big-west,2024,
UTSA,aac,2024,
Virginia Commonwealth,atlantic-10,2024,
Western Carolina,socon,2024,
