full_name,school,nickname,url,location
New Mexico Lobos,,,/cbb/schools/new-mexico/men/,"Albuquerque, New Mexico"
New Mexico State Aggies,,,/cbb/schools/new-mexico-state/men/,"Las Cruces, New Mexico"
New Orleans Privateers,,,/cbb/schools/new-orleans/men/,"New Orleans, Louisiana"
Niagara Purple Eagles,,,/cbb/schools/niagara/men/,"Niagara University, New York"
Nicholls State Colonels,,,/cbb/schools/nicholls-state/men/,"Thibodaux, Louisiana"
NJIT Highlanders,NJIT,Highlanders,/cbb/schools/njit/men/,"Newark, New Jersey"
Norfolk State Spartans,,,/cbb/schools/norfolk-state/men/,"Norfolk, Virginia"
North Alabama Lions,,,/cbb/schools/north-alabama/men/,"Florence, Alabama"
North Carolina A&T Aggies,,,/cbb/schools/north-carolina-at/men/,"Greensboro, North Carolina"
North Carolina Central Eagles,,,/cbb/schools/north-carolina-central/men/,"Durham, North Carolina"
North Carolina Tar Heels,,,/cbb/schools/north-carolina/men/,"Chapel Hill, North Carolina"
North Dakota Fighting Hawks,,,/cbb/schools/north-dakota/men/,"Grand Forks, North Dakota"
North Dakota State Bison,,,/cbb/schools/north-dakota-state/men/,"Fargo, North Dakota"
North Florida Ospreys,,,/cbb/schools/north-florida/men/,"Jacksonville, Florida"
North Texas Mean Green,,,/cbb/schools/north-texas/men/,"Denton, Texas"
Northeastern Huskies,Northeastern,Huskies,/cbb/schools/northeastern/men/,"Boston, Massachusetts"
Northern Arizona Lumberjacks,,,/cbb/schools/northern-arizona/men/,"Flagstaff, Arizona"
Northern Colorado Bears,,,/cbb/schools/northern-colorado/men/,"Greeley, Colorado"
Northern Illinois Huskies,,,/cbb/schools/northern-illinois/men/,"De Kalb, Illinois"
Northern Iowa Panthers,,,/cbb/schools/northern-iowa/men/,"Cedar Falls, Iowa"
Northern Kentucky Norse,,,/cbb/schools/northern-kentucky/men/,"Highland Heights, Kentucky"
Northwestern State Demons,,,/cbb/schools/northwestern-state/men/,"Natchitoches, Louisiana"
Northwestern Wildcats,Northwestern,Wildcats,/cbb/schools/northwestern/men/,"Evanston, Illinois"
Notre Dame Fighting Irish,,,/cbb/schools/notre-dame/men/,"Notre Dame, Indiana"
Oakland Golden Grizzlies,,,/cbb/schools/oakland/men/,"Rochester, Michigan"
Ohio Bobcats,Ohio,Bobcats,/cbb/schools/ohio/men/,"Athens, Ohio"
Ohio State Buckeyes,,,/cbb/schools/ohio-state/men/,"Columbus, Ohio"
Oklahoma Sooners,Oklahoma,Sooners,/cbb/schools/oklahoma/men/,"Norman, Oklahoma"
Oklahoma State Cowboys,,,/cbb/schools/oklahoma-state/men/,"Stillwater, Oklahoma"
Old Dominion Monarchs,,,/cbb/schools/old-dominion/men/,"Norfolk, Virginia"
Omaha Mavericks,Omaha,Mavericks,/cbb/schools/nebraska-omaha/men/,"Omaha, Nebraska"
Oral Roberts Golden Eagles,,,/cbb/schools/oral-roberts/men/,"Tulsa, Oklahoma"
Oregon Ducks,Oregon,Ducks,/cbb/schools/oregon/men/,"Eugene, Oregon"
Oregon State Beavers,,,/cbb/schools/oregon-state/men/,"Corvallis, Oregon"
Pacific Tigers,Pacific,Tigers,/cbb/schools/pacific/men/,"Stockton, California"
Penn State Nittany Lions,,,/cbb/schools/penn-state/men/,"University Park, Pennsylvania"
Pennsylvania Quakers,Pennsylvania,Quakers,/cbb/schools/pennsylvania/men/,"Philadelphia, Pennsylvania"
Pepperdine Waves,Pepperdine,Waves,/cbb/schools/pepperdine/men/,"Malibu, California"
Pittsburgh Panthers,Pittsburgh,Panthers,/cbb/schools/pittsburgh/men/,"Pittsburgh, Pennsylvania"
Portland Pilots,Portland,Pilots,/cbb/schools/portland/men/,"Portland, Oregon"
Portland State Vikings,,,/cbb/schools/portland-state/men/,"Portland, Oregon"
Prairie View Panthers,,,/cbb/schools/prairie-view/men/,"Prairie View, Texas"
Presbyterian Blue Hose,,,/cbb/schools/presbyterian/men/,"Clinton, South Carolina"
Princeton Tigers,Princeton,Tigers,/cbb/schools/princeton/men/,"Princeton, New Jersey"
Providence Friars,Providence,Friars,/cbb/schools/providence/men/,"Providence, Rhode Island"
Purdue Boilermakers,Purdue,Boilermakers,/cbb/schools/purdue/men/,"West Lafayette, Indiana"
Purdue-Fort Wayne Mastodons,,,/cbb/schools/ipfw/men/,"Fort Wayne, Indiana"
Queens (NC) Royals,,,/cbb/schools/queens-nc/men/,"Charlotte, North Carolina"
Quinnipiac Bobcats,Quinnipiac,Bobcats,/cbb/schools/quinnipiac/men/,"Hamden, Connecticut"
Radford Highlanders,Radford,Highlanders,/cbb/schools/radford/men/,"Radford, Virginia"
Rhode Island Rams,,,/cbb/schools/rhode-island/men/,"Kingston, Rhode Island"
Rice Owls,Rice,Owls,/cbb/schools/rice/men/,"Houston, Texas"
Richmond Spiders,Richmond,Spiders,/cbb/schools/richmond/men/,"Richmond, Virginia"
Rider Broncs,Rider,Broncs,/cbb/schools/rider/men/,"Lawrenceville, New Jersey"
Robert Morris Colonials,,,/cbb/schools/robert-morris/men/,"Moon Township, Pennsylvania"
Rutgers Scarlet Knights,,,/cbb/schools/rutgers/men/,"New Brunswick, New Jersey"
Sacramento State Hornets,,,/cbb/schools/sacramento-state/men/,"Sacramento, California"
Sacred Heart Pioneers,,,/cbb/schools/sacred-heart/men/,"Fairfield, Connecticut"
Saint Francis (PA) Red Flash,,,/cbb/schools/saint-francis-pa/men/,"Loretto, Pennsylvania"
Saint Joseph's Hawks,,,/cbb/schools/saint-josephs/men/,"Philadelphia, Pennsylvania"
Saint Louis Billikens,,,/cbb/schools/saint-louis/men/,"St. Louis, Missouri"
Saint Mary's (CA) Gaels,,,/cbb/schools/saint-marys-ca/men/,"Moraga, California"
Saint Peter's Peacocks,,,/cbb/schools/saint-peters/men/,"Jersey City, New Jersey"
Sam Houston State Bearkats,,,/cbb/schools/sam-houston-state/men/,"Huntsville, Texas"
Samford Bulldogs,Samford,Bulldogs,/cbb/schools/samford/men/,"Birmingham, Alabama"
San Diego State Aztecs,,,/cbb/schools/san-diego-state/men/,"San Diego, California"
San Diego Toreros,,,/cbb/schools/san-diego/men/,"San Diego, California"
San Francisco Dons,,,/cbb/schools/san-francisco/men/,"San Francisco, California"
San Jose State Spartans,,,/cbb/schools/san-jose-state/men/,"San Jose, California"
Santa Clara Broncos,,,/cbb/schools/santa-clara/men/,"Santa Clara, California"
Seattle Redhawks,Seattle,Redhawks,/cbb/schools/seattle/men/,"Seattle, Washington"
Seton Hall Pirates,,,/cbb/schools/seton-hall/men/,"South Orange, New Jersey"
Siena Saints,Siena,Saints,/cbb/schools/siena/men/,"Loudonville, New York"
South Alabama Jaguars,,,/cbb/schools/south-alabama/men/,"Mobile, Alabama"
South Carolina Gamecocks,,,/cbb/schools/south-carolina/men/,"Columbia, South Carolina"
South Carolina State Bulldogs,,,/cbb/schools/south-carolina-state/men/,"Orangeburg, South Carolina"
South Carolina Upstate Spartans,,,/cbb/schools/south-carolina-upstate/men/,"Spartanburg, South Carolina"
South Dakota Coyotes,,,/cbb/schools/south-dakota/men/,"Vermillion, South Dakota"
South Dakota State Jackrabbits,,,/cbb/schools/south-dakota-state/men/,"Brookings, South Dakota"
South Florida Bulls,,,/cbb/schools/south-florida/men/,"Tampa, Florida"
Southeast Missouri State Redhawks,,,/cbb/schools/southeast-missouri-state/men/,"Cape Girardeau, Missouri"
Southeastern Louisiana Lions,,,/cbb/schools/southeastern-louisiana/men/,"Hammond, Louisiana"
Southern California Trojans,,,/cbb/schools/southern-california/men/,"Los Angeles, California"
Southern Illinois Salukis,,,/cbb/schools/southern-illinois/men/,"Carbondale, Illinois"
Southern Illinois-Edwardsville Cougars,,,/cbb/schools/southern-illinois-edwardsville/men/,"Edwardsville, Illinois"
