full_name,school,nickname,url,location
Western Illinois Leathernecks,,,/cbb/schools/western-illinois/men/,"Macomb, Illinois"
Western Kentucky Hilltoppers,,,/cbb/schools/western-kentucky/men/,"Bowling Green, Kentucky"
Western Michigan Broncos,,,/cbb/schools/western-michigan/men/,"Kalamazoo, Michigan"
Wichita State Shockers,,,/cbb/schools/wichita-state/men/,"Wichita, Kansas"
William & Mary Tribe,,,/cbb/schools/william-mary/men/,"Williamsburg, Virginia"
Winthrop Eagles,Winthrop,Eagles,/cbb/schools/winthrop/men/,"Rock Hill, South Carolina"
Wisconsin Badgers,Wisconsin,Badgers,/cbb/schools/wisconsin/men/,"Madison, Wisconsin"
Wofford Terriers,Wofford,Terriers,/cbb/schools/wofford/men/,"Spartanburg, South Carolina"
Wright State Raiders,,,/cbb/schools/wright-state/men/,"Dayton, Ohio"
Wyoming Cowboys,Wyoming,Cowboys,/cbb/schools/wyoming/men/,"Laramie, Wyoming"
Xavier Musketeers,Xavier,Musketeers,/cbb/schools/xavier/men/,"Cincinnati, Ohio"
Yale Bulldogs,Yale,Bulldogs,/cbb/schools/yale/men/,"New Haven, Connecticut"
Youngstown State Penguins,,,/cbb/schools/youngstown-state/men/,"Youngstown, Ohio"
